NIFTY TOTAL MARKET,NIFTY 50,NIFTY BANK,NIFTY NEXT 50,NIFTY AUTO,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PRIVATE BANK,NIFTY REALTY,NIFTY HEALTHCARE INDEX,NIFTY CONSUMER DURABLES,NIFTY OIL & GAS,NIFTY COMMODITIES,NIFTY INDIA CONSUMPTION,NIFTY ENERGY,NIFTY INFRASTRUCTURE,NIFTY INDIA DEFENCE,NIFTY INDIA TOURISM,NIFTY CAPITAL MARKETS,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY MOBILITY,NIFTY RURAL
ATHERENERG,,,,,,,,,,,,,,,,,,,,,,,,,
UNITDSPR,,,,,,,,,,,,,,,,,,,,,,,,,
BIOCON,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPHITE,,,,,,,,,,,,,,,,,,,,,,,,,
TRIVENI,,,,,,,,,,,,,,,,,,,,,,,,,
KTKBANK,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINERSIN,,,,,,,,,,,,,,,,,,,,,,,,,
CARTRADE,,,,,,,,,,,,,,,,,,,,,,,,,
ACUTAAS,,,,,,,,,,,,,,,,,,,,,,,,,
WOCKPHARMA,,,,,,,,,,,,,,,,,,,,,,,,,
UJJIVANSFB,,,,,,,,,,,,,,,,,,,,,,,,,
KFINTECH,,,,,,,,,,,,,,,,,,,,,,,,,
LICI,,,,,,,,,,,,,,,,,,,,,,,,,
NYKAA,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,,,,,,,,,,,,,,,,,,,,,,,,,
SYRMA,,,,,,,,,,,,,,,,,,,,,,,,,
VOLTAS,,,,,,,,,,,,,,,,,,,,,,,,,
NAM-INDIA,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,,,,,,,,,,,,,,,,,,,,,,,,,
